Membership No  Date Joined  Active  
    65712      2016-6-3     no    
    83805      2018-2-3     no    
    57855      2020-11-8    no    
    91524      2018-3-8     no    
    65244      2015-12-21   no    
    24730      2017-12-19   no    
    74048      2015-3-16    no    
    14407      2017-9-22    no    
    19242      2018-4-9     no    
    18102      2017-8-12    no    
    47826      2019-6-23    no    
    36732      2018-3-2     no    
    62944      2017-7-18    no    
    15442      2015-12-17   no    
    29982      2019-6-1     no    
