Membership No  Date Joined  Active  
    49864      2016-6-1     no    
    78324      2020-12-15   no    
    69338      2016-6-20    no    
    97022      2019-7-2     no    
    18249      2018-2-20    no    
    80135      2019-8-17    no    
    55669      2015-3-9     no    
    71026      2017-12-4    no    
    86912      2018-11-16   no    
    89116      2017-11-2    no    
    60704      2016-3-9     no    
    50816      2018-10-11   no    
    48652      2017-2-4     no    
